COUNTY_CODE,LANE_TYPE,RURAL_URBAN,ROAD_MILES,TRAVEL_MVM,TOTAL_CRASHES,PDO_CRASHES,INJURY_CRASHES,FATAL_CRASHES,VICTIM_KILLED,VICTIM_INJURED,TOTAL_CRASH_RATE,FATAL_INJURY_CRASH_RATE,FATALITY_RATE,COUNTY,BICYCLE_FATALITIES,BICYCLE_INJURIES,PEDESTRIAN_FATALITIES,PEDESTRIAN_INJURIES
ALA,TOTAL,COUNTYWIDE,194.8,8617,9453,6494,2915,44,46,3952,1.097017523500058,0.3433909713357317,0.533828478588836,Alameda,1,26,7,65
ALP,TOTAL,COUNTYWIDE,82.7,97.1,63,26,36,1,1,51,0.6488156539649846,0.38105046343975285,1.0298661174047374,Alpine,0,2,0,1
AMA,TOTAL,COUNTYWIDE,125.7,281.1,196,96,96,4,4,138,0.6972607612949128,0.3557452863749555,1.422981145499822,Amador,0,1,0,2
BUT,TOTAL,COUNTYWIDE,181.8,718.7,545,313,223,9,10,318,0.7583136218171699,0.322805064700153,1.3914011409489355,Butte,0,2,3,8
CAL,TOTAL,COUNTYWIDE,150.2,266.9,330,191,132,7,9,190,1.2364181341326341,0.5207943049831398,3.3720494567253656,Calaveras,0,1,1,4
CC,TOTAL,COUNTYWIDE,111.6,4747.9,4385,2910,1453,22,23,2047,0.9235662082183703,0.3106636618294404,0.4844246930221782,Contra Costa,2,5,8,22
COL,TOTAL,COUNTYWIDE,114.8,436.9,193,98,90,5,6,130,0.44174868390936145,0.21744106202792401,1.3733119707026782,Colusa,0,0,0,1
DN,TOTAL,COUNTYWIDE,91.4,182.5,170,92,74,4,4,112,0.9315068493150684,0.4273972602739726,2.191780821917808,Del Norte,1,1,0,2
ED,TOTAL,COUNTYWIDE,172.1,815.3,760,462,294,4,5,415,0.9321722065497363,0.36550962835765977,0.6132711885195634,El Dorado,0,11,0,9
FRE,TOTAL,COUNTYWIDE,518.2,3925.6,2961,1961,968,32,36,1477,0.7542796005706134,0.2547381292031791,0.9170572651314448,Fresno,1,5,3,31
GLE,TOTAL,COUNTYWIDE,110.2,315.7,148,81,65,2,2,94,0.4687994931897371,0.21222679759265126,0.6335128286347799,Glenn,0,0,2,2
HUM,TOTAL,COUNTYWIDE,335.7,788.5,613,380,223,10,13,315,0.777425491439442,0.29549778059606846,1.6487000634115407,Humboldt,0,5,1,6
IMP,TOTAL,COUNTYWIDE,408.4,1599,465,225,230,10,11,346,0.29080675422138835,0.150093808630394,0.6879299562226392,Imperial,0,2,1,4
INY,TOTAL,COUNTYWIDE,424.4,425,204,124,69,11,14,96,0.48,0.18823529411764706,3.294117647058824,Inyo,2,4,0,2
KER,TOTAL,COUNTYWIDE,845.6,5299,2794,1747,983,64,71,1465,0.5272692960936025,0.19758444989620683,1.339875448197773,Kern,3,3,14,27
KIN,TOTAL,COUNTYWIDE,156.7,950.8,391,224,160,7,7,228,0.41123264619267985,0.17564156499789652,0.736222128733698,Kings,0,2,1,4
LA,TOTAL,COUNTYWIDE,831.7,38389.2,41235,27470,13566,199,218,19925,1.0741302241255355,0.3585643879007638,0.5678680462213331,Los Angeles,0,88,84,273
LAK,TOTAL,COUNTYWIDE,135.8,395.7,415,254,145,16,17,211,1.0487743239828153,0.4068738943644175,4.29618397776093,Lake,1,2,6,5
LAS,TOTAL,COUNTYWIDE,303.3,266.1,226,134,90,2,3,129,0.8493047726418639,0.34573468620819237,1.1273957158962795,Lassen,0,0,0,2
MAD,TOTAL,COUNTYWIDE,130.6,1224.9,800,496,290,14,14,459,0.6531145399624458,0.24818352518572942,1.1429504449342802,Madera,0,4,4,8
MEN,TOTAL,COUNTYWIDE,385.5,703.1,652,456,186,10,10,243,0.9273218603328118,0.27876546721661216,1.4222727919214906,Mendocino,0,5,1,6
MER,TOTAL,COUNTYWIDE,256.8,1961.2,1331,815,499,17,20,843,0.6786661227819702,0.26310422190495614,1.0197838058331634,Merced,0,5,4,13
MNO,TOTAL,COUNTYWIDE,314.7,273.3,234,156,73,5,6,117,0.8562019758507134,0.2854006586169045,2.195389681668496,Mono,0,1,0,0
MOD,TOTAL,COUNTYWIDE,177.6,73.7,67,44,20,3,3,27,0.9090909090909091,0.31207598371777473,4.070556309362279,Modoc,1,0,0,0
MON,TOTAL,COUNTYWIDE,285.3,2285.2,1645,1108,515,22,23,712,0.7198494661298793,0.23499037283388766,1.0064764572028708,Monterey,0,5,8,15
MPA,TOTAL,COUNTYWIDE,117.1,122.3,122,69,51,2,2,84,0.9975470155355683,0.4333605887162715,1.6353229762878168,Mariposa,0,0,0,0
MRN,TOTAL,COUNTYWIDE,90.4,1477,986,601,380,5,5,508,0.6675693974272173,0.26066350710900477,0.3385240352064997,Marin,0,6,0,3
NAP,TOTAL,COUNTYWIDE,112.2,746.9,660,404,251,5,5,344,0.8836524300441827,0.342750033471683,0.6694336591243808,Napa,0,10,1,6
NEV,TOTAL,COUNTYWIDE,127.9,740.1,638,410,222,6,6,314,0.8620456695041211,0.3080664775030401,0.8107012565869477,Nevada,0,2,0,3
ORA,TOTAL,COUNTYWIDE,275.6,11240.4,10702,6842,3800,60,63,5310,0.9521013487064518,0.3434041493185296,0.5604782747944913,Orange,1,86,19,104
PLA,TOTAL,COUNTYWIDE,153.8,1924.6,1419,914,491,14,14,683,0.7372960615192767,0.2623921853891718,0.7274238802868128,Placer,1,3,2,10
PLU,TOTAL,COUNTYWIDE,181.7,148.8,154,96,57,1,1,82,1.0349462365591398,0.3897849462365591,0.6720430107526881,Plumas,0,0,0,1
RIV,TOTAL,COUNTYWIDE,629.4,12638.5,9415,6149,3164,102,106,4528,0.7449459983384105,0.2584167424931756,0.8387071250543973,Riverside,0,15,24,60
SAC,TOTAL,COUNTYWIDE,210.8,5660,4891,3224,1621,46,47,2300,0.8641342756183745,0.2945229681978799,0.8303886925795053,Sacramento,0,12,17,31
SB,TOTAL,COUNTYWIDE,294,2257.7,1793,1071,700,22,22,1040,0.7941710590423884,0.31979448110909336,0.9744430172299243,Santa Barbara,0,19,3,12
SBD,TOTAL,COUNTYWIDE,1193.8,14319.6,9699,6195,3387,117,137,4883,0.6773233889214783,0.24469957261376016,0.9567306349339367,San Bernardino,0,18,25,85
SBT,TOTAL,COUNTYWIDE,87.7,358.3,379,222,151,6,6,219,1.0577728160759141,0.4381802958414736,1.6745743790120011,San Benito,0,1,0,3
